lon,lat
-116.877034,32.473597
-117.011879,32.52109
-116.879799,32.513721
-116.875772,32.477392
-116.940253,32.48328
-116.93138,32.545406
-116.957606,32.490389
-117.024306,32.530751
-116.937287,32.47929
-117.037687,32.527282
-117.040261,32.48283
-116.901785,32.543972
-116.869832,32.468007
-116.851095,32.513675
-116.931632,32.522035
-116.969557,32.467674
-117.053271,32.336793
-116.873893,32.476911
-117.0551,32.3384705
-115.485002,32.662101
-115.47327,32.66229
-115.504932,32.656195
-115.434559,32.632636
-115.495212,32.657073
-115.429051,32.620682
-115.49682,32.63702
-115.515742,32.657653
-115.479401,32.663932
-117.012551,32.520846
-115.478517,32.644199
-115.495553,32.642736
-115.401863,32.582238
-115.516445,32.639089
-115.483994,32.664932
-115.47526,32.664198
-115.433489,32.651798
-115.459189,32.665601
-115.478786,32.654092
-115.451319,32.662387
-116.926886,32.52098
-116.970955,32.50129
-116.951423,32.488509
-116.878947,32.513766
-116.6366488,32.5714397
-116.931155,32.54389
-117.057228,32.511448
-116.935038,32.544039
-117.04723,32.53389
-116.9101245,32.4627142
-117.116784,32.518231
-116.852429,32.512127
-116.8349175,32.4717673
-117.056469,32.340215
-117.007567,32.528186
-116.894991,32.545286
-117.059732,32.353649
-117.032119,32.525936
-116.919298,32.507132
-116.971621,32.490656
-116.987516,32.519799
-117.028831,32.521074
-116.621165,32.3695207
-117.0214418,32.5085268
-117.0065916,32.5130168
-116.64,32.5722
-116.976212,32.462053
-117.056,32.3422
-117.053015,32.334781
-116.628297,32.5749295
-117.044,32.5347
-115.465854,32.665055
-117.023593,32.433957
-116.926203,32.478353
-117.044,32.5347
-117.047971,32.407382
-117.015035,32.537284
-116.918154,32.49328
-116.623741,32.573976
-117.038621,32.529324
-117.0383908,32.4889671
-117.0289957,32.5306904
-116.91004,32.551859
-115.472747,32.664699
-116.5914559,31.8294148
-116.9809224,32.5107164
-115.4727659,32.6388068
-116.5824,32.3112
-116.9388623,32.5398341
-116.897545,32.501896
-117.0731217,32.5311423
-115.4799,32.6654
-116.601206,31.810608
-116.9551,32.4919
-115.5005,32.6559
-115.4317,32.625
-115.416,32.6648
-115.5059,32.656
-115.4182,32.6384
-115.416,32.6569
-115.4521,32.6483
-115.358447,32.5598942
-115.4984371,32.5953167
-115.4262919,32.613968
-116.9309,32.5445
-116.9176,32.4687
-116.8897,32.5191
-116.859,32.5142
-117.118754,32.52863
-115.50671,32.621217
-115.4748596,32.5889576
-115.356065,32.5839269
-116.6314844,32.565995
-115.4727307,32.5995289
-115.4639154,32.606534
-115.4345754,32.5856263
-115.4757,32.6656
-116.932687,32.4921193
-115.4642692,32.6610423
-114.8394962,31.0245491
-117.09053,32.53364
-117.0122977,32.4432513
-117.03941,32.44252
-116.82773,32.48982
-116.95329,32.43281
-116.94453,32.48667
-116.74069,32.50754
-117.040071,32.438162
-117.038604,32.4401476
-116.81901,32.48568
-116.9677,32.49778
-116.8357488,32.4925102
-116.82297,32.46167
-117.07448,32.52361
-117.04206,32.43287
-116.7346251,32.5118043
-115.99184,30.73331
-116.91908,32.22576
-115.93069,30.52353
